mainlocation,sublocation,neighborhood,frontage,purpose,streetwidth,size,Price
الرياض,شمال الرياض,حي النرجس,شمال,سكني,36,800,3750
الرياض,شرق الرياض,حي الرمال,شمال,سكني,20,625,2200
الخبر,,حي العقيق,شرق,,20,715,909
الرياض,غرب الرياض,حي المهدية,غرب,سكني,20,900,1200
الرياض,شمال الرياض,حي حطين,جنوب,سكني,15,385,4000
الرياض,شرق الرياض,حي الحمراء,شرق,سكني,20,1237,3200
الرياض,شرق الرياض,حي اليرموك,شرق,سكني,20,638,2500
الرياض,شرق الرياض,حي القدس,غرب,تجاري,35,13571,3500
الرياض,وسط الرياض,حي الربوة,3 شوارع,سكني,20,1479,4259
الرياض,شمال الرياض,حي النرجس,3 شوارع,تجاري,60,1283,4300
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,سكني,20,900,3200
الرياض,غرب الرياض,حي المهدية,جنوب غربي,سكني,20,575,1500
الرياض,شرق الرياض,حي الحمراء,شمال,سكني,30,1125,3450
الرياض,شمال الرياض,حي الواحة,جنوب,سكني,20,600,3900
الرياض,غرب الرياض,حي ظهرة لبن,شمال,سكني,20,500,1200
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,25,600,4700
الرياض,شرق الرياض,حي المونسية,شرق,تجاري,35,750,3100
الرياض,غرب الرياض,حي عرقة,غرب,سكني,12,416,2500
الرياض,شمال الرياض,حي المحمدية,3 شوارع,سكني,20,7710,3300
الرياض,شرق الرياض,حي قرطبة,غرب,سكني,15,690,2650
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,28,14000,4800
جدة,شمال جدة,حي الفيصلية,غرب,تجاري,40,3858,4924
الخبر,,حي الكوثر,شمال شرقي,سكني,20,1350,555
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,25,17072,3550
الهفوف,,حي الطرف,شمال شرقي,سكني,15,753,250
جدة,شمال جدة,حي الصالحية,غرب,سكني,15,868,1382
الخبر,,حي الشراع,جنوب,سكني,20,312,1185
بريدة,,حي الصفراء,جنوب,,30,660,1700
جازان,,حي الزهور,جنوب غربي,,60,15000,55
الرياض,غرب الرياض,حي عليشة,جنوب,سكني,20,899,1950
الرياض,جنوب الرياض,حي طيبة,3 شوارع,سكني,15,7190,350
الرياض,غرب الرياض,حي المهدية,شمال غربي,تجاري,35,400,1500
جازان,,حي الصفا,جنوب,,15,630,800
الرياض,شمال الرياض,حي الصحافة,جنوب,تجاري,60,1854,6300
الرياض,غرب الرياض,حي المهدية,شرق,سكني,20,690,1200
جدة,شمال جدة,حي ابحر الشمالية,شرق,سكني,20,552,2445
الرياض,شمال الرياض,حي النخيل,شمال شرقي,سكني,30,1500,5000
الرس,,حي الشفاء,شرق,تجاري,30,400,875
الرياض,جنوب الرياض,حي طيبة,جنوب شرقي,سكني,15,2000,1350
خميس مشيط,,حي الواحة,جنوب,سكني,20,700,428
احد رفيده,,حي العزيزية,جنوب,سكني,12,576,651
ابها,,حي السروات,جنوب,سكني,15,1210,99
صامطة,,حي الجرادية,جنوب,سكني أو تجاري,15,660,190
الخبر,,حي الخزامى,جنوب غربي,سكني,40,1076,1100
الزلفي,,حي علقة,شرق,سكني,15,787,216
الرياض,شمال الرياض,حي حطين,3 شوارع,سكني,30,4200,7142
الدمام,,حي الفيصلية,شمال شرقي,تجاري,100,1307,3000
الخبر,,حي الحمرا,جنوب غربي,سكني,30,2301,3000
الدرعية,,حي الدرعية الجديدة,جنوب,سكني,15,6000,450
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,12,540,3500
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15,425,5100
الدرعية,,حي الخالدية,جنوب شرقي,,20,775,3900
ثول,,حي ثول,شمال,,25,1800,97
الرياض,غرب الرياض,حي المهدية,شمال,,10,900,1900
الرياض,شمال الرياض,حي المغرزات,3 شوارع,سكني أو تجاري,30,1980,4000
الرياض,شمال الرياض,حي المرسلات,شرق,سكني,15,375,3733
الرياض,شمال الرياض,حي حطين,شمال,سكني,15,364,4500
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني أو تجاري,30,2310,1350
الرياض,شمال الرياض,حي بنبان,شمال,تجاري,40,1605,1200
الرياض,جنوب الرياض,حي عريض,جنوب,سكني,15,240,833
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,15,400,4400
الرياض,شمال الرياض,حي الرحمانية,3 شوارع,سكني,20,2100,4200
الرياض,شرق الرياض,حي المونسية,جنوب,سكني,18,288,2700
الرياض,غرب الرياض,حي الهدا,جنوب غربي,,20,3095,2800
الرياض,غرب الرياض,حي عرقة,شمال,,15,1050,3200
الرياض,شمال الرياض,حي النخيل,شمال,,20,750,4000
الرياض,شمال الرياض,حي الوادي,شرق,سكني,15,300,3300
الرياض,شمال الرياض,حي النرجس,شمال,سكني,15,917,3200
الدرعية,,حي الدرعية الجديدة,جنوب غربي,سكني,50,12480,350
الخرج,,حي الفيصلية,جنوب,سكني,20,550,550
الرياض,شمال الرياض,حي الربيع,شمال شرقي,سكني,15,676,3910
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15,1200,2600
المدينة المنورة,,حي الجماوات,شمال,,20,662,1812
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25,312,4500
الرياض,غرب الرياض,حي عرقة,شمال,سكني,20,600,2800
الرياض,شمال الرياض,حي بنبان,جنوب شرقي,سكني,15,744,645
الرياض,غرب الرياض,حي الهدا,جنوب شرقي,سكني,20,3046,2500
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20,678,4000
الرياض,شمال الرياض,حي النرجس,جنوب شرقي,,15,1050,3100
الرياض,غرب الرياض,حي عرقة,شرق,سكني,15,300,3200
الرياض,شرق الرياض,حي اليرموك,شمال غربي,سكني,15,697,2600
الرياض,غرب الرياض,حي ظهرة لبن,غرب,تجاري,60,900,1772
الرياض,غرب الرياض,حي طويق,جنوب,سكني,30,651,950
الرياض,شمال الرياض,حي بنبان,3 شوارع,سكني,20,1500,733
الزلفي,,حي عريعرة,غرب,سكني,30,630,285
المدينة المنورة,,حي شوران,شرق,سكني أو تجاري,64,1030,1941
الخبر,,حي الامواج,جنوب,,20,510,980
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,20,1757,825
الرياض,شمال الرياض,حي بنبان,جنوب,سكني,15,750,680
الرياض,شرق الرياض,حي اليرموك,جنوب شرقي,تجاري,30,900,2500
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,18,14212,3300
الرياض,شمال الرياض,حي النرجس,شرق,سكني,15,900,2600
الرياض,غرب الرياض,حي ضاحية نمار,غرب,سكني,20,504,793
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,20,900,3800
الرياض,شرق الرياض,حي اليرموك,غرب,سكني,15,1250,2500
الرياض,شمال الرياض,حي الملقا,4 شوارع,سكني,25,14816,3700
الرياض,شمال الرياض,حي الغدير,شمال شرقي,سكني,15,2290,4200
الرياض,شمال الرياض,حي الملقا,غرب,تجاري,30,1600,4000
الرياض,شمال الرياض,حي النرجس,غرب,,15,800,3000
الرياض,شمال الرياض,حي الياسمين,شمال,تجاري,35,2522,4200
الدرعية,,حي الخالدية,جنوب غربي,سكني,40,1395,3600
الرياض,شمال الرياض,حي النرجس,جنوب,سكني,15,1500,3100
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني أو تجاري,60,2140,10000
الرياض,شرق الرياض,حي الشرق,شمال شرقي,,15,1336,300
الرياض,شمال الرياض,حي الملقا,شمال شرقي,سكني,18,611,4300
الرياض,شمال الرياض,حي الفلاح,شمال,سكني,20,1120,3700
الرياض,غرب الرياض,حي المهدية,جنوب,تجاري,36,400,1500
الرياض,شرق الرياض,حي القدس,شمال شرقي,سكني,15,958,2800
الرياض,شمال الرياض,حي الملقا,3 شوارع,سكني,20,9000,3500
الرياض,شمال الرياض,حي الملقا,جنوب شرقي,,20,800,4500
الرياض,غرب الرياض,حي الحزم,3 شوارع,,35,5757,1200
الرس,,حي الربوة,شرق,سكني,20,2300,352
الرياض,شرق الرياض,حي الروضة,جنوب,سكني,15,720,2400
الرياض,شمال الرياض,حي الملقا,شمال,سكني,20,900,3300
الرياض,شمال الرياض,حي الصحافة,4 شوارع,سكني,15,8480,3000
الرياض,شمال الرياض,حي العقيق,جنوب,سكني,15,750,4000
الرياض,شمال الرياض,حي الملقا,شرق,سكني,25,675,3530
المدينة المنورة,,حي الملك فهد,شرق,,25,625,1168
الرياض,شمال الرياض,حي الملقا,شرق,سكني,20,450,3700
الرياض,شمال الرياض,حي الملقا,شمال,سكني,15,480,4000
الرياض,شمال الرياض,حي النرجس,غرب,سكني,20,900,2400
الخبر,,حي العقيق,شرق,سكني,20,392,969
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,15,375,3300
الرياض,جنوب الرياض,حي عريض,شرق,,15,500,700
الرياض,غرب الرياض,حي عرقة,جنوب,سكني,15,800,2900
الرياض,شمال الرياض,حي الربيع,جنوب,سكني,15,510,3850
الخبر,,حي الكوثر,جنوب,سكني,20,1339,672
الرياض,شمال الرياض,حي النخيل,غرب,سكني,15,391,4350
الرياض,شمال الرياض,حي الياسمين,شمال,سكني,15,675,3200
الرياض,شمال الرياض,حي النرجس,شمال شرقي,سكني,15,336,2500
الرياض,غرب الرياض,حي الرائد,شمال,سكني,20,1500,4300
الرياض,شمال الرياض,حي النفل,غرب,,20,675,3300
الرياض,شمال الرياض,حي الملقا,غرب,سكني,15,726,4000
الرياض,شمال الرياض,حي النفل,شمال شرقي,سكني,20,2100,3350
الرياض,شمال الرياض,حي التعاون,شرق,سكني,15,625,3760
بريدة,,حي مشعل,غرب,,30,1100,850
الرياض,شمال الرياض,حي الياسمين,شرق,سكني أو تجاري,36,1500,4000
جدة,شمال جدة,حي ابحر الشمالية,شرق,سكني,15,432,2200
الرياض,شمال الرياض,حي الياسمين,غرب,سكني,15,375,3400
الدمام,,حي ضاحية الملك فهد,شمال,سكني,32,575,1304
الرياض,شمال الرياض,حي النخيل,شمال غربي,سكني,15,500,5000
الرياض,شرق الرياض,حي الخليج,شرق,سكني,15,900,1800
الرياض,شمال الرياض,حي الرحمانية,شمال شرقي,سكني,12,812,3000
جدة,شمال جدة,حي الامواج,شمال,سكني,15,750,2000
الرياض,شرق الرياض,حي الرمال,غرب,سكني,15,1050,1300
المدينة المنورة,,حي الرانوناء,جنوب,سكني,25,980,1200
الرياض,شمال الرياض,حي العليا,شمال,سكني,12,500,2400
ثادق,,حي الجنادرية,جنوب,سكني,15,663,325
الرياض,شمال الرياض,حي الغدير,غرب,سكني,20,750,4000
الرياض,شمال الرياض,حي الغدير,جنوب غربي,سكني,20,1176,4350
الرياض,شمال الرياض,حي القيروان,4 شوارع,سكني,20,624,3000
الرياض,شمال الرياض,حي الصحافة,شرق,تجاري,20,900,7100
الرياض,شمال الرياض,حي الملقا,غرب,سكني,15,900,4500
جدة,شمال جدة,حي المروة,جنوب غربي,تجاري,100,3333,10500
جدة,جنوب جدة,حي الفضيلة,شمال غربي,سكني,20,600,1333
الرياض,شمال الرياض,حي بنبان,جنوب,,15,375,746
الرياض,شرق الرياض,حي قرطبة,شمال,سكني,15,770,3000
الرياض,شرق الرياض,حي الروضة,غرب,سكني,20,542,2500
الرياض,شرق الرياض,حي الملك فيصل,جنوب,تجاري,60,1038,6500
الرياض,غرب الرياض,حي الخزامى,شرق,,10,400,3500
الرياض,شرق الرياض,حي المونسية,شمال,سكني,15,4500,2430
الخبر,,حي اللؤلؤ,شمال شرقي,سكني,20,750,1050
جازان,,حي السويس,شمال,,20,624,672
